datetime,close,time,date
20150730 15:08:00,253.47069,15:08:00,20150730
20150730 15:09:00,253.46019,15:09:00,20150730
20150730 15:10:00,253.45943,15:10:00,20150730
20150730 15:12:00,253.45894,15:12:00,20150730
20150730 15:13:00,253.45856,15:13:00,20150730
20150730 15:16:00,253.45816,15:16:00,20150730
20150730 15:20:00,253.45782,15:20:00,20150730
20150730 15:21:00,253.45761,15:21:00,20150730
20150730 15:22:00,253.17964,15:22:00,20150730
20150730 15:24:00,253.29805,15:24:00,20150730
20150730 15:25:00,253.30884,15:25:00,20150730
20150730 15:26:00,253.8196,15:26:00,20150730
20150730 15:27:00,253.29967,15:27:00,20150730
20150730 15:28:00,253.25838,15:28:00,20150730
20150730 15:29:00,253.16522,15:29:00,20150730
20150731 09:19:00,253.15916,09:19:00,20150731
20150731 09:20:00,253.16023,09:20:00,20150731
20150731 09:21:00,253.20703,09:21:00,20150731
20150731 09:26:00,253.21039,09:26:00,20150731
20150731 09:27:00,253.07103,09:27:00,20150731
20150731 09:28:00,253.06033,09:28:00,20150731
20150731 09:31:00,253.24553,09:31:00,20150731
20150731 09:33:00,253.21288,09:33:00,20150731
20150731 09:34:00,253.11665,09:34:00,20150731
20150731 09:37:00,253.06308,09:37:00,20150731
20150731 09:38:00,253.10596,09:38:00,20150731
20150731 09:39:00,253.34148,09:39:00,20150731
20150731 09:40:00,253.17314,09:40:00,20150731
20150731 09:41:00,253.0667,09:41:00,20150731
20150731 09:42:00,253.05952,09:42:00,20150731
20150731 09:46:00,253.05986,09:46:00,20150731
20150731 09:47:00,253.43129,09:47:00,20150731
20150731 09:52:00,253.45836,09:52:00,20150731
20150731 09:53:00,253.59703,09:53:00,20150731
20150731 09:55:00,253.096,09:55:00,20150731
20150731 09:56:00,252.96567,09:56:00,20150731
20150731 09:57:00,253.05214,09:57:00,20150731
20150731 09:58:00,253.43153,09:58:00,20150731
20150731 10:00:00,253.59875,10:00:00,20150731
20150731 10:01:00,253.0982,10:01:00,20150731
20150731 10:04:00,253.56953,10:04:00,20150731
20150731 10:06:00,253.60612,10:06:00,20150731
20150731 10:07:00,253.4672,10:07:00,20150731
20150731 10:12:00,253.45685,10:12:00,20150731
20150731 10:14:00,253.45679,10:14:00,20150731
20150731 10:16:00,253.1794,10:16:00,20150731
20150731 10:17:00,253.90173,10:17:00,20150731
20150731 10:21:00,254.00232,10:21:00,20150731
20150731 10:23:00,253.91228,10:23:00,20150731
20150731 10:25:00,253.99698,10:25:00,20150731
20150731 10:31:00,253.49246,10:31:00,20150731
20150731 10:32:00,253.45569,10:32:00,20150731
20150731 10:46:00,254.0139,10:46:00,20150731
20150731 10:47:00,253.63844,10:47:00,20150731
20150731 10:48:00,254.11888,10:48:00,20150731
20150731 10:53:00,254.15472,10:53:00,20150731
20150731 10:54:00,253.7826,10:54:00,20150731
20150731 10:55:00,253.4769,10:55:00,20150731
20150731 10:57:00,253.59555,10:57:00,20150731
20150731 10:58:00,254.16437,10:58:00,20150731
20150731 11:01:00,253.74161,11:01:00,20150731
20150731 11:02:00,253.9393,11:02:00,20150731
20150731 11:03:00,254.41951,11:03:00,20150731
20150731 11:11:00,254.3125,11:11:00,20150731
20150731 11:13:00,254.30186,11:13:00,20150731
20150731 11:15:00,254.30089,11:15:00,20150731
20150731 11:16:00,254.301,11:16:00,20150731
20150731 11:17:00,253.97704,11:17:00,20150731
20150731 11:18:00,254.23264,11:18:00,20150731
20150731 11:21:00,254.43982,11:21:00,20150731
20150731 11:22:00,254.45367,11:22:00,20150731
20150731 11:23:00,254.26736,11:23:00,20150731
20150731 11:24:00,254.25308,11:24:00,20150731
20150731 11:25:00,254.90367,11:25:00,20150731
20150731 11:26:00,254.67102,11:26:00,20150731
20150731 11:27:00,254.41853,11:27:00,20150731
20150731 11:28:00,254.35446,11:28:00,20150731
20150731 11:29:00,254.86267,11:29:00,20150731
20150731 11:30:00,254.11153,11:30:00,20150731
20150731 11:31:00,254.61108,11:31:00,20150731
20150731 11:32:00,254.2345,11:32:00,20150731
20150731 11:33:00,254.2044,11:33:00,20150731
20150731 11:34:00,254.4831,11:34:00,20150731
20150731 11:35:00,254.22514,11:35:00,20150731
20150731 11:36:00,253.97284,11:36:00,20150731
20150731 11:37:00,254.46559,11:37:00,20150731
20150731 11:38:00,254.92145,11:38:00,20150731
20150731 11:39:00,255.13658,11:39:00,20150731
20150731 11:40:00,256.8301,11:40:00,20150731
20150731 11:41:00,256.09384,11:41:00,20150731
20150731 11:42:00,255.99063,11:42:00,20150731
20150731 11:43:00,256.0312,11:43:00,20150731
20150731 11:44:00,256.03665,11:44:00,20150731
20150731 11:45:00,255.94719,11:45:00,20150731
20150731 11:46:00,255.94344,11:46:00,20150731
20150731 11:47:00,254.46198,11:47:00,20150731
20150731 11:48:00,254.90771,11:48:00,20150731
20150731 11:49:00,254.95503,11:49:00,20150731
20150731 11:50:00,254.67908,11:50:00,20150731
20150731 11:51:00,254.10268,11:51:00,20150731
20150731 11:52:00,254.19753,11:52:00,20150731
20150731 11:53:00,253.97679,11:53:00,20150731
20150731 11:54:00,253.95885,11:54:00,20150731
20150731 11:55:00,254.51428,11:55:00,20150731
20150731 11:56:00,254.6003,11:56:00,20150731
20150731 11:57:00,254.36932,11:57:00,20150731
20150731 11:58:00,254.35016,11:58:00,20150731
20150731 11:59:00,254.34932,11:59:00,20150731
20150731 12:00:00,254.35005,12:00:00,20150731
20150731 12:01:00,254.35109,12:01:00,20150731
20150731 12:02:00,254.63051,12:02:00,20150731
20150731 12:03:00,254.65092,12:03:00,20150731
20150731 12:04:00,254.65071,12:04:00,20150731
20150731 12:05:00,254.6502,12:05:00,20150731
20150731 12:06:00,254.6501,12:06:00,20150731
20150731 12:07:00,255.3949,12:07:00,20150731
20150731 12:08:00,255.44698,12:08:00,20150731
20150731 12:09:00,254.70218,12:09:00,20150731
20150731 12:10:00,254.92656,12:10:00,20150731
20150731 12:11:00,255.41289,12:11:00,20150731
20150731 12:12:00,255.82022,12:12:00,20150731
20150731 12:13:00,255.84575,12:13:00,20150731
20150731 12:14:00,255.93707,12:14:00,20150731
20150731 12:15:00,255.84865,12:15:00,20150731
20150731 12:16:00,255.84187,12:16:00,20150731
20150731 12:17:00,255.05305,12:17:00,20150731
20150731 12:18:00,254.48785,12:18:00,20150731
20150731 12:19:00,256.592,12:19:00,20150731
20150731 12:20:00,258.38583,12:20:00,20150731
20150731 12:21:00,257.78024,12:21:00,20150731
20150731 12:23:00,257.44986,12:23:00,20150731
20150731 12:25:00,255.14651,12:25:00,20150731
20150731 12:28:00,255.3988,12:28:00,20150731
20150731 12:31:00,254.9815,12:31:00,20150731
20150731 12:32:00,254.9091,12:32:00,20150731
20150731 12:33:00,255.42017,12:33:00,20150731
20150731 12:34:00,254.99461,12:34:00,20150731
20150731 12:37:00,255.42049,12:37:00,20150731
20150731 12:41:00,255.45102,12:41:00,20150731
20150731 12:43:00,254.98373,12:43:00,20150731
20150731 12:44:00,255.13312,12:44:00,20150731
20150731 12:45:00,256.6838,12:45:00,20150731
20150731 12:46:00,256.88217,12:46:00,20150731
20150731 12:49:00,256.0001,12:49:00,20150731
20150731 12:53:00,255.88918,12:53:00,20150731
20150731 12:55:00,255.83995,12:55:00,20150731
20150731 12:56:00,255.19113,12:56:00,20150731
20150731 12:59:00,255.70442,12:59:00,20150731
20150731 13:00:00,255.1455,13:00:00,20150731
20150731 13:03:00,255.70573,13:03:00,20150731
20150731 13:05:00,255.74976,13:05:00,20150731
20150731 13:07:00,255.14467,13:07:00,20150731
20150731 13:11:00,255.00616,13:11:00,20150731
20150731 13:12:00,254.99934,13:12:00,20150731
20150731 13:13:00,255.8837,13:13:00,20150731
20150731 13:14:00,255.94695,13:14:00,20150731
20150731 13:17:00,255.10834,13:17:00,20150731
20150731 13:20:00,254.95285,13:20:00,20150731
20150731 13:25:00,254.94669,13:25:00,20150731
20150731 13:27:00,255.64642,13:27:00,20150731
20150731 13:32:00,255.69803,13:32:00,20150731
20150731 13:38:00,255.09286,13:38:00,20150731
20150731 13:49:00,255.55849,13:49:00,20150731
20150731 13:50:00,255.5951,13:50:00,20150731
20150731 13:51:00,255.5955,13:51:00,20150731
20150731 13:52:00,255.5953,13:52:00,20150731
20150731 13:54:00,255.03784,13:54:00,20150731
20150731 14:02:00,254.95137,14:02:00,20150731
20150731 14:05:00,254.8571,14:05:00,20150731
20150731 14:06:00,256.2479,14:06:00,20150731
20150731 14:07:00,256.90637,14:07:00,20150731
20150731 14:08:00,257.40805,14:08:00,20150731
20150731 14:09:00,257.3389,14:09:00,20150731
20150731 14:10:00,256.95483,14:10:00,20150731
20150731 14:11:00,257.30234,14:11:00,20150731
20150731 14:12:00,256.95712,14:12:00,20150731
20150731 14:13:00,256.93494,14:13:00,20150731
20150731 14:16:00,256.79825,14:16:00,20150731
20150731 14:19:00,256.93045,14:19:00,20150731
20150731 14:20:00,256.94186,14:20:00,20150731
20150731 14:24:00,258.5301,14:24:00,20150731
20150731 14:26:00,257.46594,14:26:00,20150731
20150731 14:29:00,257.7576,14:29:00,20150731
20150731 14:31:00,258.294,14:31:00,20150731
20150731 14:35:00,258.84326,14:35:00,20150731
20150731 14:37:00,258.92322,14:37:00,20150731
20150731 14:38:00,258.92438,14:38:00,20150731
20150731 14:39:00,258.87613,14:39:00,20150731
20150731 14:40:00,258.68665,14:40:00,20150731
20150731 14:41:00,258.76898,14:41:00,20150731
20150731 14:42:00,258.4513,14:42:00,20150731
20150731 14:43:00,258.4304,14:43:00,20150731
20150731 14:45:00,259.36554,14:45:00,20150731
20150731 14:46:00,259.7566,14:46:00,20150731
20150731 14:47:00,259.82214,14:47:00,20150731
20150731 14:48:00,259.86774,14:48:00,20150731
20150731 14:49:00,259.9148,14:49:00,20150731
20150731 14:51:00,259.9175,14:51:00,20150731
20150731 14:53:00,259.9184,14:53:00,20150731
20150731 14:55:00,259.49966,14:55:00,20150731
20150731 14:56:00,259.47232,14:56:00,20150731
20150731 14:58:00,259.80124,14:58:00,20150731
20150731 14:59:00,259.4523,14:59:00,20150731
20150731 15:00:00,259.42624,15:00:00,20150731
20150731 15:01:00,259.79922,15:01:00,20150731
20150731 15:02:00,259.7781,15:02:00,20150731
20150731 15:03:00,259.77368,15:03:00,20150731
20150731 15:04:00,259.4457,15:04:00,20150731
20150731 15:05:00,258.9568,15:05:00,20150731
20150731 15:06:00,259.67075,15:06:00,20150731
20150731 15:07:00,259.35226,15:07:00,20150731
20150731 15:08:00,258.30286,15:08:00,20150731
20150731 15:09:00,258.83292,15:09:00,20150731
20150731 15:10:00,257.997,15:10:00,20150731
20150731 15:11:00,258.16608,15:11:00,20150731
20150731 15:12:00,258.18518,15:12:00,20150731
20150731 15:13:00,257.0254,15:13:00,20150731
20150731 15:14:00,256.98425,15:14:00,20150731
20150731 15:15:00,255.09813,15:15:00,20150731
20150731 15:16:00,255.36334,15:16:00,20150731
20150731 15:17:00,255.35916,15:17:00,20150731
20150731 15:18:00,255.40346,15:18:00,20150731
20150731 15:19:00,255.40555,15:19:00,20150731
20150731 15:20:00,255.03146,15:20:00,20150731
20150731 15:21:00,255.32422,15:21:00,20150731
20150731 15:22:00,255.34683,15:22:00,20150731
20150731 15:23:00,255.34554,15:23:00,20150731
20150731 15:24:00,255.3446,15:24:00,20150731
20150731 15:25:00,255.01935,15:25:00,20150731
20150731 15:26:00,255.46033,15:26:00,20150731
20150731 15:27:00,255.49512,15:27:00,20150731
20150731 15:28:00,255.82126,15:28:00,20150731
20150731 15:29:00,255.84372,15:29:00,20150731
20150731 15:30:00,255.00673,15:30:00,20150731
20150803 09:17:00,254.99254,09:17:00,20150803
20150803 09:18:00,256.53473,09:18:00,20150803
20150803 09:19:00,256.5501,09:19:00,20150803
20150803 09:21:00,255.19356,09:21:00,20150803
20150803 09:23:00,255.00131,09:23:00,20150803
