datetime,close,time,date
20150703 09:16:00,64.5,09:16:00,20150703
20150703 09:17:00,64.55,09:17:00,20150703
20150703 09:18:00,64.7,09:18:00,20150703
20150703 09:19:00,64.8,09:19:00,20150703
20150703 09:20:00,64.7,09:20:00,20150703
20150703 09:21:00,64.75,09:21:00,20150703
20150703 09:22:00,64.6,09:22:00,20150703
20150703 09:23:00,64.9,09:23:00,20150703
20150703 09:24:00,64.75,09:24:00,20150703
20150703 09:25:00,64.75,09:25:00,20150703
20150703 09:26:00,64.7,09:26:00,20150703
20150703 09:27:00,64.65,09:27:00,20150703
20150703 09:28:00,64.65,09:28:00,20150703
20150703 09:29:00,64.65,09:29:00,20150703
20150703 09:30:00,64.65,09:30:00,20150703
20150703 09:31:00,64.95,09:31:00,20150703
20150703 09:32:00,64.8,09:32:00,20150703
20150703 09:33:00,64.65,09:33:00,20150703
20150703 09:34:00,64.7,09:34:00,20150703
20150703 09:35:00,64.65,09:35:00,20150703
20150703 09:36:00,64.65,09:36:00,20150703
20150703 09:37:00,64.65,09:37:00,20150703
20150703 09:38:00,64.6,09:38:00,20150703
20150703 09:39:00,64.55,09:39:00,20150703
20150703 09:40:00,64.55,09:40:00,20150703
20150703 09:41:00,64.55,09:41:00,20150703
20150703 09:42:00,64.5,09:42:00,20150703
20150703 09:43:00,64.45,09:43:00,20150703
20150703 09:44:00,64.55,09:44:00,20150703
20150703 09:45:00,64.6,09:45:00,20150703
20150703 09:46:00,64.7,09:46:00,20150703
20150703 09:47:00,64.65,09:47:00,20150703
20150703 09:48:00,64.75,09:48:00,20150703
20150703 09:49:00,64.8,09:49:00,20150703
20150703 09:50:00,64.8,09:50:00,20150703
20150703 09:51:00,64.75,09:51:00,20150703
20150703 09:52:00,64.65,09:52:00,20150703
20150703 09:53:00,64.6,09:53:00,20150703
20150703 09:54:00,64.65,09:54:00,20150703
20150703 09:55:00,64.8,09:55:00,20150703
20150703 09:56:00,64.6,09:56:00,20150703
20150703 09:57:00,64.6,09:57:00,20150703
20150703 09:58:00,64.55,09:58:00,20150703
20150703 09:59:00,64.6,09:59:00,20150703
20150703 10:00:00,64.6,10:00:00,20150703
20150703 10:01:00,64.6,10:01:00,20150703
20150703 10:02:00,64.6,10:02:00,20150703
20150703 10:03:00,64.55,10:03:00,20150703
20150703 10:04:00,64.55,10:04:00,20150703
20150703 10:05:00,64.65,10:05:00,20150703
20150703 10:06:00,64.65,10:06:00,20150703
20150703 10:07:00,64.65,10:07:00,20150703
20150703 10:08:00,64.6,10:08:00,20150703
20150703 10:09:00,64.5,10:09:00,20150703
20150703 10:10:00,64.4,10:10:00,20150703
20150703 10:11:00,64.45,10:11:00,20150703
20150703 10:12:00,64.45,10:12:00,20150703
20150703 10:13:00,64.4,10:13:00,20150703
20150703 10:14:00,64.25,10:14:00,20150703
20150703 10:15:00,64.3,10:15:00,20150703
20150703 10:16:00,64.4,10:16:00,20150703
20150703 10:17:00,64.3,10:17:00,20150703
20150703 10:18:00,64.15,10:18:00,20150703
20150703 10:19:00,63.8,10:19:00,20150703
20150703 10:20:00,63.8,10:20:00,20150703
20150703 10:21:00,63.85,10:21:00,20150703
20150703 10:22:00,63.9,10:22:00,20150703
20150703 10:23:00,63.8,10:23:00,20150703
20150703 10:24:00,63.8,10:24:00,20150703
20150703 10:25:00,63.8,10:25:00,20150703
20150703 10:26:00,63.8,10:26:00,20150703
20150703 10:27:00,63.7,10:27:00,20150703
20150703 10:28:00,63.75,10:28:00,20150703
20150703 10:29:00,63.65,10:29:00,20150703
20150703 10:30:00,63.4,10:30:00,20150703
20150703 10:31:00,63.6,10:31:00,20150703
20150703 10:32:00,63.5,10:32:00,20150703
20150703 10:33:00,63.65,10:33:00,20150703
20150703 10:34:00,63.6,10:34:00,20150703
20150703 10:35:00,63.65,10:35:00,20150703
20150703 10:36:00,63.75,10:36:00,20150703
20150703 10:37:00,63.75,10:37:00,20150703
20150703 10:38:00,63.65,10:38:00,20150703
20150703 10:39:00,63.6,10:39:00,20150703
20150703 10:40:00,63.7,10:40:00,20150703
20150703 10:41:00,63.55,10:41:00,20150703
20150703 10:42:00,63.6,10:42:00,20150703
20150703 10:43:00,63.6,10:43:00,20150703
20150703 10:44:00,63.5,10:44:00,20150703
20150703 10:45:00,63.5,10:45:00,20150703
20150703 10:46:00,63.6,10:46:00,20150703
20150703 10:47:00,63.65,10:47:00,20150703
20150703 10:48:00,63.6,10:48:00,20150703
20150703 10:49:00,63.65,10:49:00,20150703
20150703 10:50:00,63.65,10:50:00,20150703
20150703 10:51:00,63.6,10:51:00,20150703
20150703 10:52:00,63.7,10:52:00,20150703
