datetime,close,time,date
20150731 13:36:00,1003.25,13:36:00,20150731
20150731 13:37:00,1002.55,13:37:00,20150731
20150731 13:38:00,1002.45,13:38:00,20150731
20150731 13:39:00,1002.5,13:39:00,20150731
20150731 13:40:00,1003.0,13:40:00,20150731
20150731 13:41:00,1002.6,13:41:00,20150731
20150731 13:42:00,1002.7,13:42:00,20150731
20150731 13:43:00,1002.85,13:43:00,20150731
20150731 13:44:00,1003.2,13:44:00,20150731
20150731 13:45:00,1002.9,13:45:00,20150731
20150731 13:46:00,1002.9,13:46:00,20150731
20150731 13:47:00,1002.25,13:47:00,20150731
20150731 13:48:00,1003.15,13:48:00,20150731
20150731 13:49:00,1003.45,13:49:00,20150731
20150731 13:50:00,1003.95,13:50:00,20150731
20150731 13:51:00,1002.45,13:51:00,20150731
20150731 13:52:00,1003.1,13:52:00,20150731
20150731 13:53:00,1002.55,13:53:00,20150731
20150731 13:54:00,1002.5,13:54:00,20150731
20150731 13:55:00,1002.05,13:55:00,20150731
20150731 13:56:00,1002.05,13:56:00,20150731
20150731 13:57:00,1002.35,13:57:00,20150731
20150731 13:58:00,1002.75,13:58:00,20150731
20150731 13:59:00,1003.5,13:59:00,20150731
20150731 14:00:00,1003.9,14:00:00,20150731
20150731 14:01:00,1004.5,14:01:00,20150731
20150731 14:02:00,1003.7,14:02:00,20150731
20150731 14:03:00,1004.75,14:03:00,20150731
20150731 14:04:00,1004.5,14:04:00,20150731
20150731 14:05:00,1003.6,14:05:00,20150731
20150731 14:06:00,1001.95,14:06:00,20150731
20150731 14:07:00,1002.8,14:07:00,20150731
20150731 14:08:00,1003.25,14:08:00,20150731
20150731 14:09:00,1003.1,14:09:00,20150731
20150731 14:10:00,1003.65,14:10:00,20150731
20150731 14:11:00,1004.0,14:11:00,20150731
20150731 14:12:00,1003.65,14:12:00,20150731
20150731 14:13:00,1003.25,14:13:00,20150731
20150731 14:14:00,1004.0,14:14:00,20150731
20150731 14:15:00,1003.65,14:15:00,20150731
20150731 14:16:00,1003.25,14:16:00,20150731
20150731 14:17:00,1003.8,14:17:00,20150731
20150731 14:18:00,1003.95,14:18:00,20150731
20150731 14:19:00,1004.95,14:19:00,20150731
20150731 14:20:00,1004.45,14:20:00,20150731
20150731 14:21:00,1004.45,14:21:00,20150731
20150731 14:22:00,1004.1,14:22:00,20150731
20150731 14:23:00,1004.05,14:23:00,20150731
20150731 14:24:00,1004.05,14:24:00,20150731
20150731 14:25:00,1003.5,14:25:00,20150731
20150731 14:26:00,1004.65,14:26:00,20150731
20150731 14:27:00,1003.7,14:27:00,20150731
