datetime,close,time,date
20150721 11:00:00,513.7803,11:00:00,20150721
20150721 11:01:00,514.03284,11:01:00,20150721
20150721 11:02:00,514.0916,11:02:00,20150721
20150721 11:03:00,514.11566,11:03:00,20150721
20150721 11:04:00,514.8515,11:04:00,20150721
20150721 11:05:00,514.7014,11:05:00,20150721
20150721 11:06:00,514.4081,11:06:00,20150721
20150721 11:07:00,514.4166,11:07:00,20150721
20150721 11:08:00,514.5892,11:08:00,20150721
20150721 11:09:00,515.7105,11:09:00,20150721
20150721 11:10:00,515.6856,11:10:00,20150721
20150721 11:11:00,515.508,11:11:00,20150721
20150721 11:12:00,515.9886,11:12:00,20150721
20150721 11:13:00,516.46173,11:13:00,20150721
20150721 11:14:00,516.40814,11:14:00,20150721
20150721 11:15:00,516.49066,11:15:00,20150721
20150721 11:16:00,516.47736,11:16:00,20150721
20150721 11:17:00,516.5488,11:17:00,20150721
20150721 11:18:00,516.2723,11:18:00,20150721
20150721 11:19:00,516.13336,11:19:00,20150721
20150721 11:20:00,516.158,11:20:00,20150721
20150721 11:21:00,515.2802,11:21:00,20150721
20150721 11:22:00,514.9961,11:22:00,20150721
20150721 11:23:00,515.2512,11:23:00,20150721
20150721 11:24:00,515.4282,11:24:00,20150721
20150721 11:25:00,515.7224,11:25:00,20150721
20150721 11:26:00,515.2919,11:26:00,20150721
20150721 11:27:00,515.354,11:27:00,20150721
20150721 11:28:00,515.28784,11:28:00,20150721
20150721 11:29:00,515.1657,11:29:00,20150721
20150721 11:30:00,515.53424,11:30:00,20150721
20150721 11:31:00,515.57935,11:31:00,20150721
20150721 11:32:00,515.35065,11:32:00,20150721
20150721 11:33:00,515.1962,11:33:00,20150721
20150721 11:34:00,515.4446,11:34:00,20150721
20150721 11:35:00,515.56714,11:35:00,20150721
20150721 11:36:00,515.313,11:36:00,20150721
20150721 11:37:00,515.587,11:37:00,20150721
20150721 11:38:00,515.7886,11:38:00,20150721
20150721 11:39:00,515.9533,11:39:00,20150721
20150721 11:40:00,516.003,11:40:00,20150721
20150721 11:41:00,515.7722,11:41:00,20150721
20150721 11:42:00,515.72455,11:42:00,20150721
20150721 11:43:00,515.99554,11:43:00,20150721
20150721 11:44:00,516.0892,11:44:00,20150721
20150721 11:45:00,516.3721,11:45:00,20150721
20150721 11:46:00,516.6248,11:46:00,20150721
20150721 11:47:00,516.58844,11:47:00,20150721
20150721 11:48:00,516.3413,11:48:00,20150721
20150721 11:49:00,516.2147,11:49:00,20150721
20150721 11:50:00,516.90015,11:50:00,20150721
20150721 11:51:00,518.246,11:51:00,20150721
20150721 11:52:00,518.1103,11:52:00,20150721
20150721 11:53:00,518.28595,11:53:00,20150721
20150721 11:54:00,518.7796,11:54:00,20150721
20150721 11:55:00,519.2714,11:55:00,20150721
20150721 11:56:00,520.27936,11:56:00,20150721
20150721 11:57:00,519.95685,11:57:00,20150721
20150721 11:58:00,519.78326,11:58:00,20150721
20150721 11:59:00,519.561,11:59:00,20150721
20150721 12:00:00,519.5703,12:00:00,20150721
20150721 12:01:00,518.9353,12:01:00,20150721
20150721 12:02:00,518.0851,12:02:00,20150721
20150721 12:03:00,517.8871,12:03:00,20150721
20150721 12:04:00,517.5709,12:04:00,20150721
20150721 12:05:00,517.79297,12:05:00,20150721
20150721 12:06:00,518.1448,12:06:00,20150721
20150721 12:07:00,518.19104,12:07:00,20150721
20150721 12:08:00,518.1467,12:08:00,20150721
20150721 12:09:00,518.22156,12:09:00,20150721
20150721 12:10:00,518.4999,12:10:00,20150721
20150721 12:11:00,518.5731,12:11:00,20150721
20150721 12:12:00,518.42505,12:12:00,20150721
20150721 12:13:00,518.4369,12:13:00,20150721
20150721 12:14:00,518.5105,12:14:00,20150721
20150721 12:15:00,518.2371,12:15:00,20150721
20150721 12:16:00,518.2844,12:16:00,20150721
20150721 12:17:00,518.2117,12:17:00,20150721
20150721 12:18:00,518.04694,12:18:00,20150721
20150721 12:19:00,517.8224,12:19:00,20150721
20150721 12:20:00,517.76154,12:20:00,20150721
20150721 12:21:00,517.8437,12:21:00,20150721
20150721 12:22:00,518.03723,12:22:00,20150721
20150721 12:23:00,517.64825,12:23:00,20150721
20150721 12:24:00,517.4221,12:24:00,20150721
20150721 12:25:00,517.5396,12:25:00,20150721
20150721 12:26:00,517.8087,12:26:00,20150721
20150721 12:27:00,517.83594,12:27:00,20150721
20150721 12:28:00,517.6729,12:28:00,20150721
20150721 12:29:00,517.71436,12:29:00,20150721
20150721 12:30:00,517.6127,12:30:00,20150721
20150721 12:31:00,517.51807,12:31:00,20150721
20150721 12:32:00,517.27496,12:32:00,20150721
20150721 12:33:00,517.28595,12:33:00,20150721
20150721 12:34:00,517.1678,12:34:00,20150721
20150721 12:35:00,517.06396,12:35:00,20150721
20150721 12:36:00,517.14233,12:36:00,20150721
20150721 12:37:00,517.29987,12:37:00,20150721
20150721 12:38:00,517.3385,12:38:00,20150721
20150721 12:39:00,517.06586,12:39:00,20150721
20150721 12:40:00,517.1171,12:40:00,20150721
20150721 12:41:00,517.12134,12:41:00,20150721
20150721 12:42:00,516.7599,12:42:00,20150721
20150721 12:43:00,516.67584,12:43:00,20150721
20150721 12:44:00,516.67804,12:44:00,20150721
20150721 12:45:00,516.70636,12:45:00,20150721
20150721 12:46:00,515.62317,12:46:00,20150721
20150721 12:47:00,515.2989,12:47:00,20150721
20150721 12:48:00,515.2885,12:48:00,20150721
20150721 12:49:00,514.9682,12:49:00,20150721
20150721 12:50:00,514.55664,12:50:00,20150721
20150721 12:51:00,513.72125,12:51:00,20150721
20150721 12:52:00,512.9279,12:52:00,20150721
20150721 12:53:00,513.7168,12:53:00,20150721
20150721 12:54:00,514.29236,12:54:00,20150721
20150721 12:55:00,513.72327,12:55:00,20150721
20150721 12:56:00,513.2637,12:56:00,20150721
20150721 12:57:00,512.719,12:57:00,20150721
20150721 12:58:00,512.75854,12:58:00,20150721
20150721 12:59:00,512.99646,12:59:00,20150721
20150721 13:00:00,513.6618,13:00:00,20150721
20150721 13:01:00,514.3704,13:01:00,20150721
20150721 13:02:00,515.2589,13:02:00,20150721
20150721 13:03:00,515.15076,13:03:00,20150721
20150721 13:04:00,514.89325,13:04:00,20150721
20150721 13:05:00,515.1419,13:05:00,20150721
20150721 13:06:00,515.16064,13:06:00,20150721
20150721 13:07:00,514.5191,13:07:00,20150721
20150721 13:08:00,513.57135,13:08:00,20150721
20150721 13:09:00,512.81244,13:09:00,20150721
20150721 13:10:00,512.76135,13:10:00,20150721
20150721 13:11:00,512.44104,13:11:00,20150721
20150721 13:12:00,512.2681,13:12:00,20150721
20150721 13:13:00,512.67456,13:13:00,20150721
20150721 13:14:00,513.517,13:14:00,20150721
20150721 13:15:00,513.47766,13:15:00,20150721
20150721 13:16:00,512.6099,13:16:00,20150721
20150721 13:17:00,512.6443,13:17:00,20150721
20150721 13:18:00,512.6655,13:18:00,20150721
20150721 13:19:00,512.412,13:19:00,20150721
20150721 13:20:00,512.3506,13:20:00,20150721
20150721 13:21:00,512.36145,13:21:00,20150721
20150721 13:22:00,512.21375,13:22:00,20150721
20150721 13:23:00,510.84128,13:23:00,20150721
20150721 13:24:00,510.15268,13:24:00,20150721
20150721 13:25:00,509.42828,13:25:00,20150721
20150721 13:26:00,509.24518,13:26:00,20150721
20150721 13:27:00,509.623,13:27:00,20150721
20150721 13:28:00,510.0134,13:28:00,20150721
20150721 13:29:00,510.0803,13:29:00,20150721
20150721 13:30:00,510.15884,13:30:00,20150721
20150721 13:31:00,510.16183,13:31:00,20150721
20150721 13:32:00,509.99985,13:32:00,20150721
20150721 13:33:00,509.901,13:33:00,20150721
20150721 13:34:00,509.62552,13:34:00,20150721
20150721 13:35:00,509.44986,13:35:00,20150721
20150721 13:36:00,509.5772,13:36:00,20150721
20150721 13:37:00,509.3433,13:37:00,20150721
20150721 13:38:00,508.82022,13:38:00,20150721
20150721 13:39:00,508.58005,13:39:00,20150721
20150721 13:40:00,508.8249,13:40:00,20150721
20150721 13:41:00,508.7569,13:41:00,20150721
20150721 13:42:00,508.52878,13:42:00,20150721
20150721 13:43:00,508.3312,13:43:00,20150721
20150721 13:44:00,508.53085,13:44:00,20150721
20150721 13:45:00,508.89474,13:45:00,20150721
20150721 13:46:00,508.91562,13:46:00,20150721
20150721 13:47:00,509.40918,13:47:00,20150721
20150721 13:48:00,509.03088,13:48:00,20150721
20150721 13:49:00,508.96793,13:49:00,20150721
20150721 13:50:00,508.7679,13:50:00,20150721
20150721 13:51:00,508.32007,13:51:00,20150721
20150721 13:52:00,507.48215,13:52:00,20150721
20150721 13:53:00,507.62082,13:53:00,20150721
20150721 13:54:00,506.56387,13:54:00,20150721
20150721 13:55:00,506.40994,13:55:00,20150721
20150721 13:56:00,507.0822,13:56:00,20150721
20150721 13:57:00,507.14722,13:57:00,20150721
20150721 13:58:00,505.99493,13:58:00,20150721
20150721 13:59:00,505.37674,13:59:00,20150721
20150721 14:00:00,504.72632,14:00:00,20150721
