datetime,close,time,date
20150703 09:16:00,480.5,09:16:00,20150703
20150703 09:17:00,481.55,09:17:00,20150703
20150703 09:18:00,481.0,09:18:00,20150703
20150703 09:19:00,478.6,09:19:00,20150703
20150703 09:20:00,479.05,09:20:00,20150703
20150703 09:21:00,478.0,09:21:00,20150703
20150703 09:22:00,477.0,09:22:00,20150703
20150703 09:23:00,477.5,09:23:00,20150703
20150703 09:24:00,478.75,09:24:00,20150703
20150703 09:25:00,477.05,09:25:00,20150703
20150703 09:26:00,477.85,09:26:00,20150703
20150703 09:27:00,477.2,09:27:00,20150703
20150703 09:28:00,477.0,09:28:00,20150703
20150703 09:29:00,476.4,09:29:00,20150703
20150703 09:30:00,477.0,09:30:00,20150703
20150703 09:31:00,478.8,09:31:00,20150703
20150703 09:32:00,477.75,09:32:00,20150703
20150703 09:33:00,477.7,09:33:00,20150703
20150703 09:34:00,477.75,09:34:00,20150703
20150703 09:35:00,478.1,09:35:00,20150703
20150703 09:36:00,478.7,09:36:00,20150703
20150703 09:37:00,478.15,09:37:00,20150703
20150703 09:38:00,478.05,09:38:00,20150703
20150703 09:39:00,477.7,09:39:00,20150703
20150703 09:40:00,476.8,09:40:00,20150703
20150703 09:41:00,476.45,09:41:00,20150703
20150703 09:42:00,476.4,09:42:00,20150703
20150703 09:43:00,476.7,09:43:00,20150703
20150703 09:44:00,476.55,09:44:00,20150703
20150703 09:45:00,476.5,09:45:00,20150703
20150703 09:46:00,477.15,09:46:00,20150703
20150703 09:47:00,476.7,09:47:00,20150703
20150703 09:48:00,477.0,09:48:00,20150703
20150703 09:49:00,476.8,09:49:00,20150703
20150703 09:50:00,477.15,09:50:00,20150703
20150703 09:51:00,477.1,09:51:00,20150703
20150703 09:52:00,477.05,09:52:00,20150703
20150703 09:53:00,477.15,09:53:00,20150703
20150703 09:54:00,477.5,09:54:00,20150703
20150703 09:55:00,477.8,09:55:00,20150703
20150703 09:56:00,477.5,09:56:00,20150703
20150703 09:57:00,477.3,09:57:00,20150703
20150703 09:58:00,477.35,09:58:00,20150703
20150703 09:59:00,477.5,09:59:00,20150703
20150703 10:00:00,477.35,10:00:00,20150703
20150703 10:01:00,477.05,10:01:00,20150703
20150703 10:02:00,477.0,10:02:00,20150703
20150703 10:03:00,473.1,10:03:00,20150703
20150703 10:04:00,474.25,10:04:00,20150703
20150703 10:05:00,474.75,10:05:00,20150703
20150703 10:06:00,474.45,10:06:00,20150703
20150703 10:07:00,474.6,10:07:00,20150703
20150703 10:08:00,474.4,10:08:00,20150703
20150703 10:09:00,474.4,10:09:00,20150703
20150703 10:10:00,474.5,10:10:00,20150703
20150703 10:11:00,474.15,10:11:00,20150703
20150703 10:12:00,474.05,10:12:00,20150703
20150703 10:13:00,474.5,10:13:00,20150703
20150703 10:14:00,474.45,10:14:00,20150703
20150703 10:15:00,474.25,10:15:00,20150703
20150703 10:16:00,474.65,10:16:00,20150703
20150703 10:17:00,474.9,10:17:00,20150703
20150703 10:18:00,474.45,10:18:00,20150703
20150703 10:19:00,474.6,10:19:00,20150703
20150703 10:20:00,474.6,10:20:00,20150703
20150703 10:21:00,474.55,10:21:00,20150703
20150703 10:22:00,474.65,10:22:00,20150703
20150703 10:23:00,474.65,10:23:00,20150703
20150703 10:24:00,474.7,10:24:00,20150703
20150703 10:25:00,474.6,10:25:00,20150703
20150703 10:26:00,474.6,10:26:00,20150703
20150703 10:27:00,474.65,10:27:00,20150703
20150703 10:28:00,474.75,10:28:00,20150703
20150703 10:29:00,474.95,10:29:00,20150703
20150703 10:30:00,474.15,10:30:00,20150703
20150703 10:31:00,474.0,10:31:00,20150703
20150703 10:32:00,474.0,10:32:00,20150703
20150703 10:33:00,474.35,10:33:00,20150703
20150703 10:34:00,474.25,10:34:00,20150703
20150703 10:35:00,474.0,10:35:00,20150703
20150703 10:36:00,474.1,10:36:00,20150703
20150703 10:37:00,473.2,10:37:00,20150703
20150703 10:38:00,473.35,10:38:00,20150703
20150703 10:39:00,473.35,10:39:00,20150703
20150703 10:40:00,473.5,10:40:00,20150703
20150703 10:41:00,473.5,10:41:00,20150703
