datetime,close,time,date
20150721 11:12:00,264.29086,11:12:00,20150721
20150721 11:13:00,264.2377,11:13:00,20150721
20150721 11:14:00,264.2934,11:14:00,20150721
20150721 11:15:00,264.1376,11:15:00,20150721
20150721 11:16:00,264.39767,11:16:00,20150721
20150721 11:17:00,264.39767,11:17:00,20150721
20150721 11:18:00,264.23633,11:18:00,20150721
20150721 11:19:00,264.239,11:19:00,20150721
20150721 11:20:00,264.4488,11:20:00,20150721
20150721 11:21:00,264.08252,11:21:00,20150721
20150721 11:22:00,264.23914,11:22:00,20150721
20150721 11:23:00,264.24567,11:23:00,20150721
20150721 11:24:00,264.65588,11:24:00,20150721
20150721 11:25:00,264.28772,11:25:00,20150721
20150721 11:26:00,264.1803,11:26:00,20150721
20150721 11:27:00,264.34503,11:27:00,20150721
20150721 11:28:00,264.0846,11:28:00,20150721
20150721 11:29:00,263.9822,11:29:00,20150721
20150721 11:30:00,264.04306,11:30:00,20150721
20150721 11:31:00,264.1487,11:31:00,20150721
20150721 11:32:00,264.19873,11:32:00,20150721
20150721 11:33:00,264.1444,11:33:00,20150721
20150721 11:34:00,264.1953,11:34:00,20150721
20150721 11:35:00,264.50494,11:35:00,20150721
20150721 11:36:00,264.54926,11:36:00,20150721
20150721 11:37:00,264.33328,11:37:00,20150721
20150721 11:38:00,264.43826,11:38:00,20150721
20150721 11:39:00,264.54373,11:39:00,20150721
20150721 11:40:00,264.64285,11:40:00,20150721
20150721 11:41:00,264.4847,11:41:00,20150721
20150721 11:42:00,264.22684,11:42:00,20150721
20150721 11:43:00,264.39017,11:43:00,20150721
20150721 11:44:00,264.1353,11:44:00,20150721
20150721 11:45:00,264.24048,11:45:00,20150721
20150721 11:46:00,264.1951,11:46:00,20150721
20150721 11:47:00,264.1423,11:47:00,20150721
20150721 11:48:00,263.98956,11:48:00,20150721
20150721 11:49:00,264.2515,11:49:00,20150721
20150721 11:50:00,263.9398,11:50:00,20150721
20150721 11:51:00,263.83466,11:51:00,20150721
20150721 11:52:00,263.94684,11:52:00,20150721
20150721 11:53:00,263.99838,11:53:00,20150721
20150721 11:54:00,264.1507,11:54:00,20150721
20150721 11:55:00,263.83682,11:55:00,20150721
20150721 11:56:00,264.04453,11:56:00,20150721
20150721 11:57:00,264.04745,11:57:00,20150721
20150721 11:58:00,263.83447,11:58:00,20150721
20150721 11:59:00,263.8383,11:59:00,20150721
20150721 12:00:00,263.73956,12:00:00,20150721
20150721 12:01:00,263.84482,12:01:00,20150721
20150721 12:02:00,263.74316,12:02:00,20150721
20150721 12:03:00,263.84665,12:03:00,20150721
20150721 12:04:00,263.69263,12:04:00,20150721
20150721 12:05:00,263.27838,12:05:00,20150721
20150721 12:06:00,263.3917,12:06:00,20150721
20150721 12:07:00,263.6063,12:07:00,20150721
20150721 12:08:00,263.75656,12:08:00,20150721
20150721 12:09:00,263.85446,12:09:00,20150721
20150721 12:10:00,263.74545,12:10:00,20150721
20150721 12:11:00,263.48386,12:11:00,20150721
20150721 12:12:00,263.64322,12:12:00,20150721
20150721 12:13:00,263.49014,12:13:00,20150721
20150721 12:14:00,263.64478,12:14:00,20150721
20150721 12:15:00,263.59604,12:15:00,20150721
20150721 12:16:00,263.64597,12:16:00,20150721
20150721 12:17:00,263.54346,12:17:00,20150721
20150721 12:18:00,263.64716,12:18:00,20150721
20150721 12:19:00,263.4406,12:19:00,20150721
20150721 12:20:00,263.44125,12:20:00,20150721
20150721 12:21:00,263.39447,12:21:00,20150721
20150721 12:22:00,263.2919,12:22:00,20150721
20150721 12:23:00,263.45068,12:23:00,20150721
20150721 12:24:00,263.45114,12:24:00,20150721
20150721 12:25:00,263.6548,12:25:00,20150721
20150721 12:26:00,263.70316,12:26:00,20150721
20150721 12:27:00,263.85175,12:27:00,20150721
20150721 12:28:00,263.38083,12:28:00,20150721
20150721 12:29:00,263.33154,12:29:00,20150721
20150721 12:30:00,263.29056,12:30:00,20150721
20150721 12:31:00,263.24106,12:31:00,20150721
20150721 12:32:00,263.3492,12:32:00,20150721
20150721 12:33:00,263.09244,12:33:00,20150721
20150721 12:34:00,263.09534,12:34:00,20150721
20150721 12:35:00,263.7739,12:35:00,20150721
20150721 12:36:00,263.4517,12:36:00,20150721
20150721 12:37:00,263.33752,12:37:00,20150721
20150721 12:38:00,263.18982,12:38:00,20150721
20150721 12:39:00,263.13968,12:39:00,20150721
20150721 12:40:00,263.3504,12:40:00,20150721
20150721 12:41:00,263.34967,12:41:00,20150721
20150721 12:42:00,263.5537,12:42:00,20150721
20150721 12:43:00,263.44785,12:43:00,20150721
20150721 12:44:00,263.75458,12:44:00,20150721
20150721 12:45:00,263.69916,12:45:00,20150721
20150721 12:46:00,263.17395,12:46:00,20150721
20150721 12:47:00,262.2007,12:47:00,20150721
20150721 12:48:00,261.55615,12:48:00,20150721
20150721 12:49:00,261.64148,12:49:00,20150721
20150721 12:50:00,261.6611,12:50:00,20150721
20150721 12:51:00,261.9778,12:51:00,20150721
20150721 12:52:00,261.92676,12:52:00,20150721
20150721 12:53:00,261.76477,12:53:00,20150721
20150721 12:54:00,261.8666,12:54:00,20150721
20150721 12:56:00,261.96457,12:56:00,20150721
20150721 12:57:00,261.69666,12:57:00,20150721
20150721 12:58:00,261.90253,12:58:00,20150721
20150721 12:59:00,261.59296,12:59:00,20150721
20150721 13:00:00,261.5928,13:00:00,20150721
20150721 13:01:00,261.0323,13:01:00,20150721
20150721 13:02:00,261.24893,13:02:00,20150721
20150721 13:04:00,261.10535,13:04:00,20150721
20150721 13:05:00,261.26062,13:05:00,20150721
20150721 13:06:00,261.2127,13:06:00,20150721
20150721 13:07:00,260.4356,13:07:00,20150721
20150721 13:08:00,259.8292,13:08:00,20150721
20150721 13:09:00,259.95667,13:09:00,20150721
20150721 13:10:00,259.04016,13:10:00,20150721
20150721 13:11:00,258.284,13:11:00,20150721
20150721 13:12:00,258.1128,13:12:00,20150721
20150721 13:13:00,258.49353,13:13:00,20150721
20150721 13:14:00,257.9806,13:14:00,20150721
20150721 13:15:00,257.67493,13:15:00,20150721
20150721 13:16:00,257.4812,13:16:00,20150721
20150721 13:17:00,256.9694,13:17:00,20150721
20150721 13:18:00,256.8737,13:18:00,20150721
20150721 13:19:00,256.77945,13:19:00,20150721
20150721 13:20:00,256.62735,13:20:00,20150721
20150721 13:21:00,257.09445,13:21:00,20150721
20150721 13:22:00,256.36856,13:22:00,20150721
20150721 13:23:00,256.36935,13:23:00,20150721
20150721 13:24:00,256.68777,13:24:00,20150721
20150721 13:25:00,256.3711,13:25:00,20150721
20150721 13:26:00,257.2973,13:26:00,20150721
20150721 13:27:00,257.75253,13:27:00,20150721
20150721 13:28:00,257.98425,13:28:00,20150721
20150721 13:29:00,258.27847,13:29:00,20150721
20150721 13:30:00,257.74612,13:30:00,20150721
20150721 13:31:00,257.94983,13:31:00,20150721
20150721 13:32:00,257.59348,13:32:00,20150721
